Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
313,UDFA,AJ Simon,Albany,EDGE,EDGE31,PFA,4.17,Not in Consensus,Not on PFF Board
323,UDFA,Daijun Edwards,Georgia,RB,RB24,PFA,4.16,-106,Not on PFF Board
315,UDFA,Cole Burgess,SUNY Cortland,WR,WR42,PFA,4.16,Not in Consensus,Not on PFF Board
316,249,LaDarius Henderson,MICHIGAN,LT,OT39,PFA,4.13,-61,Not on PFF Board
317,191,Tejhaun Palmer,UAB,WR,WR43,PFA,4.13,83,Not on PFF Board
318,193,Joe Milton,Tennessee,QB,QB18,PFA,4.12,-143,Not on PFF Board
336,208,Dylan Laube,New Hampshire,RB,RB26,PFA,4.12,-188,-133
320,UDFA,Mason Fairchild,KANSAS,TE,TE18,PFA,4.12,52,Not on PFF Board
321,UDFA,Karsen Barnhart,MICHIGAN,RT,OT40,PFA,4.11,-26,-20
322,UDFA,Nolan Potter,N ILLINOIS,RT,OT41,PFA,4.11,Not in Consensus,Not on PFF Board
327,UDFA,Blake Watson,Memphis,RB,RB25,PFA,4.11,-42,-213
324,UDFA,Trente Jones,MICHIGAN,RT,OT42,PFA,4.11,2,-50
325,UDFA,Eyabi Okie-Anoma,Charlotte,EDGE,EDGE32,PFA,4.10,-39,-82
