Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
1353,UDFA,Reese White,Coastal Carolina,RB,RB73,UDFA,0.12,Not in Consensus,Not on PFF Board
1354,UDFA,Scotty Humpich,Purdue,EDGE,EDGE111,UDFA,0.12,Not in Consensus,Not on PFF Board
1355,UDFA,Terrell Haynes,UTSA,OG,OG69,UDFA,0.12,Not in Consensus,Not on PFF Board
1356,UDFA,Tramel Walthour,Georgia,EDGE,EDGE112,UDFA,0.12,Not in Consensus,Not on PFF Board
1357,UDFA,Cooper Sullivan,Wabash (Ind.),WR,WR306,UDFA,0.11,Not in Consensus,Not on PFF Board
1358,UDFA,Derek Lockhart,Indiana (Pa.),WR,WR307,UDFA,0.10,Not in Consensus,Not on PFF Board
1359,UDFA,Deion Smith,BYU,RB,RB74,UDFA,0.09,Not in Consensus,Not on PFF Board
1360,UDFA,Gregory Clayton,LSU,WR,WR308,UDFA,0.09,Not in Consensus,Not on PFF Board
1361,UDFA,Patrick Shegog,Delta State,QB,QB85,UDFA,0.1,Not in Consensus,Not on PFF Board
1362,UDFA,Brennan Brown,Howard,TE,TE108,UDFA,0.09,Not in Consensus,Not on PFF Board
1363,UDFA,Jordan Davis,Kutztown,RB,RB75,UDFA,0.09,-918,Not on PFF Board
1364,UDFA,Atunaisa Mahe,BYU,IDL,IDL104,UDFA,0.09,Not in Consensus,Not on PFF Board
1365,UDFA,Malik Langham,Purdue,IDL,IDL105,UDFA,0.08,Not in Consensus,Not on PFF Board
1366,UDFA,Darius Stokes,Baldwin Wallace,WR,WR309,UDFA,0.07,Not in Consensus,Not on PFF Board
1367,UDFA,KJ Franklin,West Florida,WR,WR310,UDFA,0.06,Not in Consensus,Not on PFF Board
1368,UDFA,Ian Fitzgerald,BYU,OG,OG70,UDFA,0.06,Not in Consensus,Not on PFF Board
1369,UDFA,James Rawls,Oregon State,IDL,IDL106,UDFA,0.06,Not in Consensus,Not on PFF Board
1370,UDFA,Connor Scaglione,Georgia Tech,OG,OG71,UDFA,0.05,Not in Consensus,Not on PFF Board
1371,UDFA,Cole Garcia,UMass,OG,OG72,UDFA,0.04,Not in Consensus,Not on PFF Board
1372,UDFA,Andre Jones,Southwestern,WR,WR311,UDFA,0.04,Not in Consensus,Not on PFF Board
1373,UDFA,David Bailey,Texas A&M,RB,RB76,UDFA,0.03,Not in Consensus,Not on PFF Board
1374,UDFA,Terrell Gardner,Alabama A&M,WR,WR312,UDFA,0.03,Not in Consensus,Not on PFF Board
1375,UDFA,Marcus Banks,Mississippi State,SAF,SAF74,UDFA,0.02,-911,Not on PFF Board
1376,UDFA,Navarie Solomon,Reinhardt,WR,WR313,UDFA,0.01,Not in Consensus,Not on PFF Board
1377,UDFA,Michael Bertoia,Wisc.-La Crosse,C,C54,UDFA,0,Not in Consensus,Not on PFF Board
1378,UDFA,James Cahoon,Bridgewater State,QB,QB86,UDFA,0.0,Not in Consensus,Not on PFF Board
1379,UDFA,Brandon Shelnutt,Limestone,TE,TE109,UDFA,0.00,Not in Consensus,Not on PFF Board
1380,UDFA,Dakereon Joyner,South Carolina,RB,RB77,UDFA,-0.01,Not in Consensus,Not on PFF Board
1381,UDFA,Maurice McIntyre,Duke,OG,OG73,UDFA,-0.02,Not in Consensus,Not on PFF Board
1382,UDFA,Lokahi Pauole,UCF,OG,OG74,UDFA,-0.05,-977,Not on PFF Board
1383,UDFA,Sio Nofoagatoto'a,Arizona,IDL,IDL107,UDFA,-0.05,Not in Consensus,Not on PFF Board
1384,UDFA,Mike Purcell,Maryland,C,C55,UDFA,-0.06,Not in Consensus,Not on PFF Board
1385,UDFA,DJ Williams,Arizona,RB,RB78,UDFA,-0.06,Not in Consensus,Not on PFF Board
1386,UDFA,Latrele Palmer,James Madison,RB,RB79,UDFA,-0.06,Not in Consensus,Not on PFF Board
1387,UDFA,Amelio Moran,Maryland,OG,OG75,UDFA,-0.08,Not in Consensus,Not on PFF Board
1388,UDFA,Austin Hill,Army,EDGE,EDGE113,UDFA,-0.09,Not in Consensus,Not on PFF Board
1389,UDFA,Jackson Filipowicz,Army,OG,OG76,UDFA,-0.09,Not in Consensus,Not on PFF Board
1390,UDFA,Shamar McCollum,Georgia State,EDGE,EDGE114,UDFA,-0.15,Not in Consensus,Not on PFF Board
1391,UDFA,Spencer Lovell,Kansas,OG,OG77,UDFA,-0.15,Not in Consensus,Not on PFF Board
1392,UDFA,Kenneth Horsey,Kentucky,OG,OG78,UDFA,-0.16,-829,Not on PFF Board
1393,UDFA,Bula Schmidt,UCF,C,C56,UDFA,-0.17,-900,Not on PFF Board
1394,UDFA,Mayan Ahanotu,Rutgers,IDL,IDL108,UDFA,-0.18,Not in Consensus,Not on PFF Board
1395,UDFA,Ra'veion Hargrove,Northern Colorado,RB,RB80,UDFA,-0.19,Not in Consensus,Not on PFF Board
1396,UDFA,Chris Curry,Utah,RB,RB81,UDFA,-0.19,Not in Consensus,Not on PFF Board
1397,UDFA,Jalil Irvin,Auburn,OG,OG79,UDFA,-0.20,Not in Consensus,Not on PFF Board
1398,UDFA,Tyler Bentley,Pitt,IDL,IDL109,UDFA,-0.21,Not in Consensus,Not on PFF Board
1399,UDFA,Kevin Williams,Charlotte,OG,OG80,UDFA,-0.23,Not in Consensus,Not on PFF Board
1400,UDFA,Kennedy Roberts,Coastal Carolina,IDL,IDL110,UDFA,-0.25,Not in Consensus,Not on PFF Board
1401,UDFA,Leroy Thomas,Old Dominion,OG,OG81,UDFA,-0.26,Not in Consensus,Not on PFF Board
1402,UDFA,Joe More,Syracuse,OG,OG82,UDFA,-0.27,Not in Consensus,Not on PFF Board
1403,UDFA,Michael Matus,Arizona State,EDGE,EDGE115,UDFA,-0.29,Not in Consensus,Not on PFF Board
1404,UDFA,Richard Newton,Washington,RB,RB82,UDFA,-0.29,Not in Consensus,Not on PFF Board
1405,UDFA,Tavis Shippen,Oregon State,IDL,IDL111,UDFA,-0.29,Not in Consensus,Not on PFF Board
1406,UDFA,Anthony Grant,Nebraska,RB,RB83,UDFA,-0.31,Not in Consensus,Not on PFF Board
1407,UDFA,Nazar Bombata,Arizona,RB,RB84,UDFA,-0.33,Not in Consensus,Not on PFF Board
1408,UDFA,Derek Ferraro,Texas A&M,C,C57,UDFA,-0.45,Not in Consensus,Not on PFF Board
1409,UDFA,Earnest Crownover,Texas A&M,RB,RB85,UDFA,-0.47,Not in Consensus,Not on PFF Board
1410,UDFA,Lavel Dumont,Rice,OG,OG83,UDFA,-0.51,Not in Consensus,Not on PFF Board
1411,UDFA,Karter Shaw,Minnesota,OG,OG84,UDFA,-0.60,Not in Consensus,Not on PFF Board
1412,UDFA,Harold Joiner III,Michigan State,RB,RB86,UDFA,-0.62,Not in Consensus,Not on PFF Board
1413,UDFA,Kavosiey Smoke,Colorado,RB,RB87,UDFA,-0.63,-890,Not on PFF Board
1414,UDFA,Caleb Johnson,Texas State,C,C58,UDFA,-0.64,Not in Consensus,Not on PFF Board
1415,UDFA,Richard Rodriguez,Temple,C,C59,UDFA,-0.65,Not in Consensus,Not on PFF Board
1416,UDFA,Jordyn Slaughter,Illinois,OG,OG85,UDFA,-0.70,Not in Consensus,Not on PFF Board
1417,UDFA,John Bolding,Southern Miss,OG,OG86,UDFA,-0.7,Not in Consensus,Not on PFF Board
1418,UDFA,Quincy McGee,Mississippi,OG,OG87,UDFA,-0.8,Not in Consensus,Not on PFF Board
1419,UDFA,William Barnes,North Carolina,OG,OG88,UDFA,-1.0,Not in Consensus,Not on PFF Board
1420,UDFA,Kanion Williams,Tulsa,SAF,SAF75,UDFA,-1.05,Not in Consensus,Not on PFF Board
1421,UDFA,Eddie Battle,Florida,RB,RB88,UDFA,-1.05,Not in Consensus,Not on PFF Board
1422,,,,,,,,Not in Consensus,Not on PFF Board
