player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Dave Herard,123779,S,VIRGINIA,9,9,7.3,0,1,335,53.0,58.0,85.9,52.6,68.1,60.1,19.4,7,0,217,221,2.3,5,20
Nusi Malani,123785,DI,WASH STATE,12,10,3.3,0,0,341,61.2,51.5,20.4,57.3,50.7,55.0,5.0,1,3,154,159,4.5,7,9
Teylor Jackson,123817,LB,E CAROLINA,12,10,2.0,0,0,156,52.4,59.2,83.7,72.4,57.9,68.7,13.5,5,0,321,323,5.6,18,22
D'Anta Johnson,123819,DI,E CAROLINA,12,8,1.4,0,1,156,56.7,73.7,86.4,69.6,73.1,57.9,10.3,3,0,232,234,6.9,16,18
Xavier McIver,123825,DI,E CAROLINA,7,1,2.0,0,0,156,,60.7,77.6,56.4,63.3,72.2,0.0,0,0,22,22,9.1,2,2
Elijah Morris,123827,DI,E CAROLINA,8,6,1.4,0,0,156,64.6,63.4,82.9,56.8,63.7,52.4,12.5,2,0,140,143,5.0,7,8
Ty Moss,123828,S,E CAROLINA,1,0,13.0,0,0,156,,63.8,67.1,,62.6,76.4,0.0,0,0,3,3,0.0,0,1
Elijah Robinson,123830,ED,HAWAII,11,3,4.9,0,0,180,46.7,68.0,84.3,71.7,65.3,77.7,0.0,0,0,95,95,8.4,8,13
Jason Shuford,123833,DI,E CAROLINA,10,1,0.5,0,0,156,69.2,63.8,82.2,59.2,61.8,74.1,0.0,0,0,76,76,2.6,2,2
Suirad Ware,123842,DI,E CAROLINA,12,5,0.7,0,0,156,59.7,61.0,20.3,54.7,69.0,62.9,6.7,1,3,187,190,3.7,7,9
Teagan Wilk,123843,S,E CAROLINA,4,3,5.0,1,0,156,66.1,62.0,0.0,59.1,56.9,56.0,25.0,2,1,71,72,1.4,1,3
Justin Abraham,123845,LB,GA STATE,13,8,3.8,0,0,175,56.8,71.5,83.4,85.6,72.2,74.9,8.9,5,1,168,172,16.7,28,43
Terrell Gordon,123856,LB,GA STATE,6,0,9.0,0,0,175,34.9,37.0,79.5,62.9,46.4,77.8,0.0,0,0,18,19,5.6,1,1
Jalen Tate,123864,S,GA STATE,7,4,7.7,0,0,175,28.5,29.8,84.0,,59.9,44.2,12.5,1,0,60,62,1.7,1,3
Kendy Charles,123873,DI,LIBERTY,8,7,3.2,0,0,206,60.0,72.7,60.3,70.2,72.9,67.7,5.0,1,1,131,135,5.3,7,12
Jerome Jolly Jr.,123883,LB,LIBERTY,13,12,3.7,0,0,206,60.6,56.1,14.5,53.9,55.5,60.9,11.6,5,2,162,165,7.4,12,26
Quinton Reese,123890,S,LIBERTY,14,6,6.8,0,0,206,71.8,70.6,54.2,62.1,71.0,71.7,16.2,6,1,253,258,4.0,10,25
Stephen Sings V,123892,ED,AUBURN,6,0,3.3,0,0,115,54.1,60.3,81.3,56.0,67.8,78.8,0.0,0,0,27,27,14.8,4,6
Aakil Washington,123896,LB,LIBERTY,3,1,4.5,0,0,206,63.8,76.4,74.8,75.9,81.5,78.9,0.0,0,0,8,8,12.5,1,2
Chris Braswell,123908,ED,ALABAMA,13,9,3.7,0,0,103,71.7,81.0,36.4,87.9,67.2,74.6,7.4,2,3,204,208,5.4,11,16
Jackson Bratton,123909,LB,UAB,12,22,2.3,0,1,321,69.7,77.1,49.0,66.9,79.6,74.1,8.6,5,1,261,269,6.9,18,31
