Year,Player,Pos,School,Height,Weight,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,routes,targets,receptions
2016,Charone Peake,WR,Clemson,74.0,209.0,4.45,35.5,122.0,12.0,6.96,4.46,True,7.0,241.0,,34.0,15.0,1.95,14.5,61.7,12.6,95.9,,9.1,5.4,4.0,4.4,95.6,0.0,95.4,370.0,81.0,50.0
2016,Demarcus Robinson,WR,Florida,73.0,203.0,4.59,34.5,123.0,,6.77,4.19,True,4.0,126.0,,33.0,13.0,1.51,10.9,63.2,10.6,70.2,,9.4,5.7,10.0,15.3,84.7,0.0,96.4,347.0,76.0,48.0
2016,Alonzo Russell,WR,Toledo,76.0,206.0,4.54,29.5,112.0,12.0,7.18,4.33,False,,,,33.88,12.0,1.97,17.3,50.0,14.4,97.2,,14.3,4.7,2.0,17.4,82.6,0.0,96.3,316.0,72.0,36.0
2016,Rashawn Scott,WR,Miami (FL),73.0,199.0,4.54,32.5,116.0,17.0,,,False,,,,31.38,13.0,2.01,13.4,62.7,11.5,99.3,,7.1,4.5,5.0,8.8,91.2,0.0,95.3,346.0,83.0,52.0
2016,Hunter Sharp,WR,Utah State,71.0,198.0,4.58,32.5,116.0,12.0,7.12,4.19,False,,,,31.62,11.0,2.59,11.8,64.0,12.0,102.6,,6.6,5.2,11.0,17.4,79.4,1.2,95.6,324.0,111.0,71.0
2016,Tajae Sharpe,WR,Massachusetts,74.0,194.0,4.55,33.5,114.0,11.0,,,True,5.0,140.0,,32.25,12.0,2.47,11.7,63.3,11.4,83.2,,2.6,2.9,9.0,30.9,68.9,0.2,95.2,530.0,177.0,112.0
2016,Sterling Shepard,WR,Oklahoma,70.0,194.0,4.48,41.0,123.0,20.0,7.0,4.35,True,2.0,40.0,,30.38,13.0,2.88,15.0,72.9,10.4,135.9,,4.4,5.8,12.0,71.0,29.0,0.0,95.5,448.0,118.0,86.0
2016,Nelson Spruce,WR,Colorado,73.0,206.0,4.69,35.0,114.0,12.0,7.09,4.2,False,,,,30.0,13.0,2.1,11.9,70.6,9.9,89.9,,4.3,3.5,10.0,6.3,93.2,0.4,95.6,504.0,126.0,89.0
2016,Michael Thomas,WR,Ohio State,75.0,212.0,4.57,35.0,126.0,18.0,6.8,4.13,True,2.0,47.0,,32.12,13.0,2.54,13.9,67.5,11.0,133.7,,6.7,4.8,13.0,6.3,93.8,0.0,96.3,308.0,83.0,56.0
2016,Laquon Treadwell,WR,Mississippi,74.0,221.0,4.52,33.0,117.0,12.0,,,True,1.0,23.0,,33.38,13.0,2.44,14.0,67.2,11.2,106.9,,9.9,5.4,17.0,7.9,91.9,0.2,95.1,470.0,122.0,82.0
2016,Duke Williams,WR,Auburn,74.0,229.0,4.72,30.0,121.0,14.0,7.43,4.47,False,,,,,,,,,,,,,,,,,,,,,
2016,De'Runnya Wilson,WR,Mississippi State,77.0,224.0,4.85,28.0,113.0,,,,False,,,,33.88,13.0,2.3,15.0,61.2,12.2,117.0,,7.7,4.7,2.0,23.8,76.2,0.0,97.3,393.0,98.0,60.0
