rank,Player,School,Pos,Year,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
52,Cashius Howell,Texas A&M,ED,2026,3.8395,74.5,253.0,30.25,4.59,32.5,115.0,,,,,113.99866741519068,-0.7089799081799518,,1.0,,,,,,,,,,3.1,,,,,,,28.8,19.9,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Keldric Faulk,Auburn,ED,2026,3.8653,77.875,276.0,34.375,4.74,35.0,117.0,,,,,109.35174330598333,0.35759089954905243,,1.0,,,,,,,,,,8.6,,,,,,,19.2,11.6,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Brenen Thompson,Mississippi State,WR,2026,3.869,69.0,164.0,29.38,4.26,,,,,,,99.5945210208984,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.77,18.5,65.5,18.4,120.6,33.3,8.1,4.3,7.0,13.2,86.8,0.0,94.8,,,,,,,,
55,Genesis Smith,Arizona,S,2026,3.8878,74.0,202.0,,4.5,42.5,,,,4.18,,98.52156683432403,2.3696391566147,,1.0,0.5,26.1,382.0,96.0,15.7,0.0026178010471204,0.0157068062827225,91.4,69.6,3.8,20.0,6.5,373.0,2.0,1.0,6.0,16.7,6.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,
56,Michael Trigg,Baylor,TE,2026,3.9132,76.0,240.0,34.25,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,192.0,46.0,,,,,,,,,,,,,,,11.0,2.18,13.9,58.8,11.3,98.8,41.2,12.3,4.5,17.0,69.4,2.9,27.2,83.5,,,,,,,,
57,Daylen Everette,Georgia,CB,2026,3.9172,73.0,196.0,,4.38,,124.0,,,,,106.50981368968212,-0.0015780452292121563,,1.0,1.0,13.4,450.0,98.3,6.4,0.0022222222222222,0.0155555555555555,83.7,55.2,2.8,5.9,5.8,293.0,0.0,1.0,7.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,
58,Caleb Downs,Alabama,S,2026,3.9275,71.0,206.0,,4.45,,,,,,,105.06478402644238,0.0,,1.0,0.5,7.7,365.0,93.8,8.9,0.0054794520547945,0.0027397260273972,54.5,66.7,7.2,15.6,4.6,293.0,0.0,2.0,1.0,10.0,4.3,24.0,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,
59,Xavier Nwankpa,Iowa,S,2026,3.9318,74.0,208.0,,4.48,,,,,,,103.27168774078505,0.0,,1.0,0.5,3.7,405.0,97.4,14.3,0.0024691358024691,0.0,79.4,59.3,4.4,12.5,5.8,325.0,2.0,1.0,0.0,40.0,30.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,
60,Mikail Kamara,Indiana,ED,2026,3.9335,73.0,262.0,,4.8,,,,,,,98.71117862654322,0.0,,1.0,,,,,,,,,,5.9,,,,,,,22.2,16.7,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Tacario Davis,Arizona,CB,2026,3.959,75.0,194.0,,4.41,,123.0,,,,,102.58346580747289,-0.17989715613014529,,1.0,0.7,17.9,238.0,96.7,7.8,0.0084033613445378,0.0168067226890756,50.6,53.6,1.7,0.0,2.5,175.0,0.0,2.0,4.0,0.0,12.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
62,Josiah Trotter,Missouri,LB,2026,3.9819,74.0,237.0,32.25,4.61,,,27.0,,,,104.94811442041086,0.0,,1.0,1.0,0.0,245.0,82.2,7.2,0.0,0.0,,,11.1,10.3,2.7,218.0,0.0,0.0,0.0,40.9,26.5,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sam Roush,Stanford,TE,2026,4.0121,78.0,267.0,30.62,4.7,38.5,126.0,,7.08,4.37,,109.43338304286694,1.7199334629526497,,1.0,,,,,,,,,,,,,,,,,,,,,,,324.0,57.6,,,,,,,,,,,,,,,12.0,1.39,11.1,61.3,6.3,69.0,40.0,12.5,6.5,3.0,29.1,5.1,65.6,86.3,,,,,,,,
64,Caleb Banks,Florida,DT,2026,4.0357,78.25,327.0,35.0,5.04,32.0,114.0,,,,,101.35743289785329,2.2972175189132114,,1.0,,,,,,,,,,4.3,,,,,,,20.0,11.2,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Carnell Tate,Ohio State,WR,2026,4.0681,74.25,192.0,31.75,4.53,,,,,,,91.18815238625429,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.02,17.2,77.3,14.6,151.8,85.7,0.0,4.5,6.0,10.1,88.9,0.7,97.3,,,,,,,,
66,Christen Miller,Georgia,DT,2026,4.0834,75.75,321.0,33.0,,,,,,,,,0.0,,1.0,,,,,,,,,,7.4,,,,,,,17.6,11.3,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Carson Beck,Miami,QB,2026,4.1067,77.0,233.0,30.58,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.2,8.1,106.7,18.0,3.0,0.22,49.1,16.0,,,,7.6,,,,,,,,,,,,,,,,,
68,Brian Parker II,Duke,IOL,2026,4.1134,77.0,309.0,,5.14,,,29.0,7.66,4.8,,88.53928267604081,,0.19670818990510963,1.0,,,,,,,,,,,,,,,,,,,,0.0653061224489796,0.0081632653061224,245.0,364.0,83.9,0.255,0.695,0.0032840722495894,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bud Clark,TCU,S,2026,4.1306,73.0,188.0,,4.41,38.0,,,,,,99.41078129796341,0.869780846503083,,1.0,0.7,17.1,400.0,99.0,9.0,0.01,0.015,75.9,65.9,2.5,10.3,6.3,321.0,0.0,4.0,6.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,
70,Matthew Hibner,SMU,TE,2026,4.1539,76.0,251.0,32.38,4.57,37.0,116.0,,,,,115.09035160911509,1.2199961873872374,,1.0,,,,,,,,,,,,,,,,,,,,,,,276.0,60.4,,,,,,,,,,,,,,,13.0,1.37,14.1,72.1,8.8,96.7,54.5,3.1,6.8,1.0,50.2,2.1,25.1,73.5,,,,,,,,
71,Max Iheanachor,Arizona State,OT,2026,4.1549,77.0,321.0,,4.91,30.5,115.0,25.0,,,,110.4610226411266,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0683229813664596,0.0,161.0,376.0,66.8,0.588,0.33,0.0148975791433892,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Jakobe Thomas,Middle Tennessee,S,2026,4.1581,73.0,211.0,,4.55,,,,,,,98.46159445865382,0.0,,0.0,0.9,12.0,411.0,90.3,7.9,0.0121654501216545,0.0145985401459854,55.8,62.0,3.5,22.9,6.0,319.0,0.0,5.0,6.0,16.7,18.2,44.0,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,
