Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2021,Josh Myers,C,Ohio St.,6-5,310.0,,,29.0,,,,True,2.0,62.0,,,1,0.045871559633027525,0.009174311926605505,109.0,248.0,63.9,0.165,0.782,0.0
2022,Blaise Andries,OG,Minnesota,6-6,308.0,5.1,30.5,,106.0,7.84,4.68,False,,,9.8,33.88,0,0.056818181818181816,0.0,88.0,529.0,83.9,0.524,0.44,0.0016207455429497568
2022,Ben Brown,C,Mississippi,6-5,312.0,,,,,,,False,,,,,1,0.1,0.03333333333333333,30.0,203.0,69.6,0.335,0.596,0.008583690987124463
2022,Logan Bruss,OG,Wisconsin,6-5,309.0,5.32,31.0,,112.0,7.57,4.55,True,3.0,104.0,,33.12,0,0.06896551724137931,0.0,116.0,372.0,82.8,0.33899999999999997,0.565,0.0020491803278688526
2022,Spencer Burford,OG,Texas-San Antonio,6-4,304.0,5.19,27.5,,105.0,,4.73,True,4.0,134.0,,34.75,0,0.09900990099009901,0.019801980198019802,101.0,358.0,77.5,0.36,0.5529999999999999,0.004357298474945534
2022,Ja'Tyre Carter,OG,Southern,6-3,311.0,5.13,30.0,,108.0,7.84,4.9,True,7.0,226.0,,33.62,0,,,,,,,,
2022,Dawson Deaton,C,Texas Tech,6-6,306.0,5.12,29.0,24.0,108.0,7.52,4.49,True,7.0,246.0,9.72,,1,0.02727272727272727,0.00909090909090909,110.0,299.0,69.5,0.324,0.622,0.004889975550122249
2022,William Dunkle,OG,San Diego St.,6-5,328.0,5.44,26.0,25.0,95.0,7.97,4.91,False,,,4.8,33.62,0,0.046511627906976744,0.0,129.0,491.0,98.8,0.281,0.672,0.01129032258064516
2022,Joshua Ezeudu,OG,North Carolina,6-4,308.0,5.19,28.5,,105.0,7.83,4.56,True,3.0,67.0,8.29,34.0,0,0.09016393442622951,0.00819672131147541,122.0,308.0,83.0,0.37,0.435,0.013953488372093023
2022,Luke Fortner,C,Kentucky,6-4,307.0,5.21,24.0,,102.0,7.75,4.95,True,3.0,65.0,6.95,,1,0.020689655172413793,0.006896551724137931,145.0,419.0,84.5,0.33399999999999996,0.539,0.0017730496453900709
2022,Luke Goedeke,OG,Central Michigan,6-5,312.0,,,26.0,,,,True,2.0,57.0,,32.25,0,0.016260162601626018,0.0,123.0,317.0,94.3,0.41600000000000004,0.536,0.006818181818181818
2022,Kenyon Green,OG,Texas A&M,6-4,323.0,5.24,26.0,20.0,102.0,,5.12,True,1.0,15.0,5.93,34.12,0,0.024539877300613498,0.006134969325153374,163.0,333.0,83.3,0.24600000000000002,0.727,0.012096774193548387
