Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2019,Deionte Thompson,S,Alabama,6-1,195.0,,,,,,,True,5.0,139.0,,32.12,0.0,0.0,9.0,3.2,11.3,6.3,381.0,1.0,0.5,22.2,524.0,98.3,2.0,5.0,14.0,0.003816793893129771,0.009541984732824428,91.1,52.8,11.0
2019,Juan Thornhill,S,Virginia,6-0,205.0,4.42,44.0,21.0,141.0,,,True,2.0,63.0,9.75,31.12,50.0,11.8,18.0,7.0,3.9,6.2,365.0,0.0,0.8,15.9,404.0,95.7,6.0,6.0,8.9,0.01485148514851485,0.01485148514851485,49.0,43.2,14.7
2019,Darius West,S,Kentucky,5-11,208.0,4.39,33.5,19.0,113.0,,,False,,,7.47,31.38,0.0,0.0,6.0,4.8,17.8,9.0,319.0,0.0,0.5,13.3,412.0,98.6,3.0,4.0,13.0,0.007281553398058253,0.009708737864077669,70.7,60.0,8.5
2019,Khari Willis,S,Michigan State,5-11,213.0,4.52,34.5,22.0,118.0,,,True,4.0,109.0,6.39,31.0,0.0,7.1,14.0,2.9,10.8,7.0,315.0,0.0,0.8,10.7,547.0,97.5,2.0,5.0,9.3,0.003656307129798903,0.009140767824497258,74.9,69.6,6.3
2019,Donovan Wilson,S,Texas A&M,6-0,199.0,,36.0,18.0,127.0,,,True,6.0,213.0,6.98,33.38,20.0,9.1,11.0,2.2,7.1,10.1,236.0,1.0,0.8,7.7,365.0,97.1,2.0,1.0,13.5,0.005479452054794521,0.0027397260273972603,118.6,76.9,10.0
2019,Andrew Wingard,S,Wyoming,6-0,209.0,4.56,36.5,9.0,121.0,7.08,4.2,False,,,7.23,30.5,20.0,12.5,33.0,6.0,6.5,4.9,378.0,0.0,0.5,15.0,404.0,92.4,2.0,3.0,19.4,0.0049504950495049506,0.007425742574257425,67.1,80.0,6.0
2019,Zedrick Woods,S,Mississippi,5-11,205.0,4.29,34.5,19.0,122.0,7.0,4.15,False,,,8.91,31.62,0.0,0.0,14.0,3.2,3.6,10.3,418.0,1.0,0.5,12.9,410.0,96.7,2.0,3.0,12.6,0.004878048780487805,0.007317073170731708,89.1,54.8,9.6
2019,Evan Worthington,S,Colorado,6-2,212.0,4.63,33.5,17.0,121.0,7.07,4.37,False,,,5.03,32.75,0.0,0.0,10.0,0.8,16.0,12.4,250.0,0.0,1.0,21.9,302.0,96.8,1.0,5.0,8.9,0.0033112582781456954,0.016556291390728478,85.5,46.9,12.6
2020,Julian Blackmon,S,Utah,6-0,187.0,,,,,,,True,3.0,85.0,,31.0,0.0,25.0,6.0,2.4,6.9,9.4,208.0,0.0,0.5,19.2,418.0,98.6,4.0,5.0,15.6,0.009569377990430622,0.011961722488038277,61.9,65.4,15.8
2020,Terrell Burgess,S,Utah,5-11,202.0,4.46,33.5,20.0,122.0,,,True,3.0,104.0,8.1,29.5,5.3,4.7,46.0,4.9,12.0,5.9,291.0,0.0,0.4,15.0,446.0,90.7,1.0,5.0,10.7,0.002242152466367713,0.011210762331838564,65.6,65.0,7.8
2020,Shyheim Carter,S,Alabama,5-10,194.0,,,,,,,False,,,,29.62,0.0,0.0,24.0,2.1,20.0,3.8,242.0,1.0,0.8,7.7,372.0,93.9,1.0,2.0,6.7,0.002688172043010753,0.005376344086021506,83.1,57.7,10.4
2020,Jeremy Chinn,S,Southern Illinois,6-3,221.0,4.45,41.0,20.0,138.0,,,True,2.0,64.0,10.0,32.12,,,,,,,,,,,,,,,,,,,,
2020,Rodney Clemons,S,SMU,6-0,209.0,4.71,33.5,21.0,118.0,,,False,,,,31.25,0.0,0.0,3.0,3.0,17.0,7.9,405.0,1.0,0.5,15.8,543.0,99.5,4.0,9.0,9.1,0.007366482504604052,0.016574585635359115,56.3,54.4,10.6
2020,Kamren Curl,S,Arkansas,6-1,206.0,4.6,34.5,24.0,125.0,,,True,7.0,216.0,7.43,32.62,0.0,0.0,5.0,3.8,12.8,13.2,317.0,0.0,0.6,8.3,360.0,98.6,2.0,2.0,9.4,0.005555555555555556,0.005555555555555556,101.4,72.2,8.5
2020,Ashtyn Davis,S,California,6-1,202.0,,,14.0,,,,True,3.0,68.0,,30.5,16.7,5.9,17.0,1.9,12.5,6.7,277.0,1.0,0.8,9.1,378.0,95.7,2.0,2.0,11.0,0.005291005291005291,0.005291005291005291,84.7,60.6,8.0
2020,Grant Delpit,S,LSU,6-2,213.0,,,,,,,True,2.0,44.0,,30.38,13.3,11.8,37.0,4.1,27.7,8.2,344.0,0.0,0.5,16.7,504.0,93.2,2.0,4.0,19.7,0.003968253968253968,0.007936507936507936,88.2,66.7,7.8
2020,Kyle Dugger,S,Lenoir-Rhyne,6-1,217.0,4.49,42.0,17.0,134.0,,,True,2.0,37.0,9.54,32.88,,,,,,,,,,,,,,,,,,,,
2020,Jalen Elliott,S,Notre Dame,6-0,205.0,4.8,34.0,15.0,125.0,6.87,4.3,False,,,4.04,31.75,0.0,0.0,1.0,0.0,29.6,13.4,300.0,0.0,0.7,6.7,382.0,99.7,2.0,2.0,8.2,0.005235602094240838,0.005235602094240838,59.2,53.3,11.3
2020,Jordan Fuller,S,Ohio State,6-2,203.0,4.67,35.5,,122.0,,4.27,True,6.0,199.0,5.5,31.0,,,,0.6,13.5,9.9,320.0,0.0,0.2,41.7,426.0,100.0,2.0,4.0,34.0,0.004694835680751174,0.009389671361502348,44.4,66.7,7.0
2020,Alohi Gilman,S,Notre Dame,5-10,201.0,4.6,32.0,17.0,119.0,6.81,4.08,True,6.0,186.0,3.81,30.88,6.7,6.3,33.0,6.8,16.1,6.2,311.0,1.0,0.6,5.3,364.0,91.7,1.0,1.0,18.3,0.0027472527472527475,0.0027472527472527475,105.2,73.7,8.8
2020,Jaylinn Hawkins,S,California,6-1,208.0,,35.5,,117.0,,,True,4.0,134.0,,31.75,0.0,5.3,21.0,2.1,16.7,9.1,337.0,0.0,0.5,2.5,486.0,95.9,3.0,1.0,11.8,0.006172839506172839,0.00205761316872428,56.5,65.0,6.2
