Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2019,Bobby Evans,OT,Oklahoma,6-4,312.0,5.2,,22.0,,,,True,3.0,97.0,,34.75,0.14,0.02,100.0,414.0,69.8,0.49,0.40299999999999997,0.011673151750972763
2019,Cody Ford,OT,Oklahoma,6-4,329.0,5.21,28.5,19.0,104.0,8.27,4.87,True,2.0,38.0,,34.0,0.04,0.0,100.0,414.0,72.2,0.49,0.40299999999999997,0.01556420233463035
2019,Derwin Gray,OT,Maryland,6-4,320.0,5.26,,26.0,90.0,,,True,7.0,219.0,3.04,34.38,0.07142857142857142,0.01020408163265306,98.0,335.0,56.7,0.19699999999999998,0.5579999999999999,0.013856812933025405
2019,Donnell Greene,OT,Minnesota,6-5,335.0,,,,,,,False,,,,35.25,0.05,0.01,100.0,384.0,73.9,0.14300000000000002,0.8390000000000001,0.008264462809917356
2019,Tytus Howard,OT,Alabama State,6-5,322.0,5.05,29.5,21.0,103.0,8.34,4.87,True,1.0,23.0,,34.0,,,,,,,,
2019,Mitch Hyatt,OT,Clemson,6-5,303.0,,25.5,28.0,102.0,7.72,4.52,False,,,6.16,34.12,0.08208955223880597,0.007462686567164179,134.0,402.0,67.9,0.366,0.59,0.0037313432835820895
2019,Andre James,OT,UCLA,6-4,299.0,5.32,29.0,21.0,105.0,8.0,4.84,False,,,,32.0,0.08786610878661087,0.02092050209205021,239.0,385.0,62.1,0.426,0.525,0.0016025641025641025
2019,Devon Johnson,OT,Ferris State,6-7,338.0,5.16,27.5,26.0,89.0,8.34,5.28,False,,,5.64,31.25,,,,,,,,
2019,Tyler Jones,OT,North Carolina State,6-3,306.0,,31.5,23.0,111.0,7.75,4.82,False,,,,33.75,0.057692307692307696,0.0,156.0,428.0,64.6,0.033,0.904,0.0017123287671232876
2019,Michael Jordan,OT,Ohio State,6-6,312.0,5.27,32.5,19.0,116.0,7.71,4.71,True,4.0,136.0,,34.25,,,,,,,,
2019,Brandon Knight,OT,Indiana,6-4,314.0,,,,,,,False,,,,34.0,0.07801418439716312,0.0,282.0,329.0,62.3,0.122,0.79,0.006546644844517185
2019,Greg Little,OT,Mississippi,6-5,310.0,5.33,25.0,,113.0,,4.74,True,2.0,37.0,3.58,33.25,0.05303030303030303,0.007575757575757576,132.0,312.0,63.2,0.542,0.285,0.0
2019,Kaleb McGary,OT,Washington,6-7,317.0,5.05,33.5,23.0,111.0,7.66,4.58,True,1.0,31.0,9.83,32.88,0.052132701421800945,0.004739336492890996,211.0,510.0,75.6,0.39799999999999996,0.488,0.008321775312066574
2019,Joshua Miles,OT,Morgan State,6-5,314.0,5.32,36.0,,109.0,8.07,4.75,True,7.0,248.0,5.36,35.62,,,,,,,,
2019,Yosh Nijman,OT,Virginia Tech,6-7,324.0,,,27.0,114.0,8.07,4.5,False,,,9.8,34.0,0.0625,0.0,96.0,295.0,60.6,0.33899999999999997,0.508,0.0
2019,Ross Pierschbacher,OT,Alabama,6-4,307.0,5.2,22.5,20.0,,7.83,4.7,True,5.0,153.0,,32.12,,,,,,,,
2019,Trey Pipkins,OT,Sioux Falls,6-6,309.0,5.12,33.5,16.0,114.0,7.61,4.7,True,3.0,91.0,8.85,33.88,,,,,,,,
2019,Ryan Pope,OT,San Diego State,6-7,320.0,,,25.0,,,,False,,,8.17,34.25,0.0425531914893617,0.014184397163120567,141.0,455.0,67.5,0.40700000000000003,0.455,0.020134228187919462
2019,Isaiah Prince,OT,Ohio State,6-6,305.0,5.09,27.0,23.0,115.0,7.9,5.02,True,6.0,202.0,7.6,35.5,0.07488986784140969,0.004405286343612335,227.0,476.0,79.7,0.273,0.66,0.011379800853485065
2019,Dalton Risner,OT,Kansas State,6-5,312.0,5.3,28.5,23.0,110.0,7.69,4.52,True,2.0,41.0,,34.0,0.013071895424836602,0.0,153.0,440.0,85.4,0.457,0.457,0.0016863406408094434
