Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2017,Chunky Clements,DT,Illinois,6-2,301.0,,,23.0,,,,False,,,3.5,7.0,1.0,3.5,7.0,1.0
2017,Davon Gaudchaux,DT,LSU,6-3,310.0,5.27,,18.0,,,,True,5.0,178.0,,,,,,
2017,Ryan Glasgow,DT,Michigan,6-3,302.0,5.13,27.5,20.0,105.0,7.55,4.5,True,4.0,138.0,4.0,10.0,3.0,4.0,10.0,3.0
2017,Treyvon Hester,DT,Toledo,6-2,300.0,,,,,,,True,7.0,244.0,5.0,8.5,7.0,5.0,8.5,7.0
2017,Jaleel Johnson,DT,Iowa,6-3,316.0,5.38,28.0,19.0,100.0,7.64,4.62,True,4.0,109.0,7.5,11.0,5.0,7.5,11.0,5.0
2017,D.J. Jones,DT,Akron,6-1,319.0,5.04,28.5,25.0,108.0,7.73,4.65,True,6.0,198.0,,,,,,
2017,Jarron Jones,DT,Notre Dame,6-6,316.0,5.33,20.5,22.0,,,,False,,,2.0,10.5,1.0,2.0,10.5,1.0
2017,Nazair Jones,DT,North Carolina,6-5,304.0,5.11,24.5,,101.0,7.93,4.63,True,3.0,102.0,2.5,9.5,1.0,2.5,9.5,1.0
2017,Jeremiah Ledbetter,DT,Arkansas,6-3,280.0,4.84,32.5,29.0,113.0,7.55,4.56,True,6.0,205.0,5.5,7.5,1.0,5.5,7.5,1.0
2017,Malik McDowell,DT,Michigan State,6-6,295.0,4.85,28.5,23.0,112.0,7.69,4.53,True,2.0,35.0,1.5,7.0,5.0,1.5,7.0,5.0
2017,Elijah Qualls,DT,Washington,6-1,313.0,5.13,31.5,33.0,105.0,7.65,4.66,True,6.0,214.0,3.0,5.0,3.0,3.0,5.0,3.0
2017,Tanzel Smart,DT,Tulane,6-1,296.0,5.24,27.0,22.0,105.0,7.53,4.57,True,6.0,189.0,5.5,19.0,2.0,5.5,19.0,2.0
2017,Vincent Taylor,DT,Oklahoma State,6-3,304.0,5.07,28.5,26.0,108.0,7.58,4.72,True,6.0,194.0,7.0,12.5,2.0,7.0,12.5,2.0
2017,Dalvin Tomlinson,DT,Alabama,6-3,310.0,5.19,27.0,,110.0,7.68,4.59,True,2.0,55.0,3.0,5.5,7.0,3.0,5.5,7.0
2017,Stevie Tu'Ikolovatu,DT,USC,6-1,331.0,5.45,24.5,28.0,91.0,7.83,5.0,True,7.0,223.0,,,,,,
2017,Eddie Vanderdoes,DT,UCLA,6-3,305.0,4.99,28.5,28.0,111.0,7.69,4.39,True,3.0,88.0,1.5,1.5,0.0,1.5,1.5,0.0
